program_id,university_id,program_slot,program_name,field_of_study,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_kh_011,uni_kh_004,2,Master of Science in Epidemiology,Epidemiology,Master,https://uhs.edu.kh/announcement/,Identity Collected,Current First-Party Admission Verified,UHS official announcements identify Master of Science in Epidemiology.
prog_kh_012,uni_kh_004,3,Master of Infectiology (International Program),Infectious Diseases,Master,https://uhs.edu.kh/registrar/new_pdf/1732675365_UHS%20Prospectus%202023_B_14112023_1400.pdf,Identity Collected,Official Prospectus Verified,UHS official prospectus identifies Master of Infectiology (International Program) as a two-year postgraduate programme.
prog_kh_013,uni_kh_005,1,Bachelor of Arts in English,English,Bachelor,https://numuniversity.com/foreign-languages-num/,Identity Collected,Current First-Party Programme Verified,NUM Faculty of Foreign Languages identifies the four-year Bachelor of Arts in English.
prog_kh_014,uni_kh_005,2,Bachelor of Arts in International Relations,International Relations,Bachelor,https://numuniversity.com/4411-2/,Identity Collected,Current First-Party Cohort Verified,NUM School of Public Policy confirms the Bachelor of Arts in International Relations with its 2025-2026 first cohort.
prog_kh_015,uni_kh_005,3,Master of Business Law,Business Law,Master,https://numuniversity.com/master-of-business-law-2/,Identity Collected,Current First-Party Enrollment Verified,NUM School of Graduate Studies current enrollment page confirms Master of Business Law.
prog_kh_016,uni_kh_006,1,Bachelor of Laws (National Program),Law,Bachelor,https://rule.edu.kh/wp-content/uploads/2024/08/University-Prospectus-2024-Small.pdf,Identity Collected,Official Prospectus Verified,RULE official 2024 university prospectus explicitly lists Bachelor of Laws (National Program).
prog_kh_017,uni_kh_006,2,English Language-Based Bachelor of Law,Law,Bachelor,https://elbbl.rule.edu.kh/en/admission-elbbl/,Identity Collected,Current First-Party Admission Verified,Current RULE ELBBL admission page identifies ELBBL as a Bachelor of Law (LL.B.) programme.
prog_kh_018,uni_kh_006,3,English Language-Based Master of Law,Law,Master,https://elbbl.rule.edu.kh/en/elbml/,Identity Collected,Current First-Party Admission Verified,Current RULE ELBML page confirms the English Language-Based Master of Law programme and current admissions.
prog_kh_019,uni_kh_007,1,Bachelor of Business Administration,Business Administration,Bachelor,https://nubb.edu.kh/en/bachelor-degree/,Identity Collected,Current First-Party Programme Verified,NUBB official Bachelor Degree page lists Bachelor of Business Administration as a four-year programme.
prog_kh_020,uni_kh_007,2,Bachelor of Information Technology,Information Technology,Bachelor,https://nubb.edu.kh/en/bachelor-degree/,Identity Collected,Current First-Party Programme Verified,NUBB official Bachelor Degree page lists Bachelor of Information Technology under Science and Technology.
prog_kh_021,uni_kh_007,3,Bachelor of Civil Engineering,Civil Engineering,Bachelor,https://nubb.edu.kh/en/bachelor-degree/,Identity Collected,Current First-Party Programme Verified,NUBB official Bachelor Degree page lists Bachelor of Civil Engineering and describes its five-year curriculum.
prog_kh_022,uni_kh_008,1,Bachelor of Science in Mechanical Engineering with Industrial Engineering,Mechanical and Industrial Engineering,Bachelor,https://sru.edu.kh/me_eae/,Identity Collected,Current First-Party Programme Verified,Current SRU programme page explicitly identifies the Bachelor of Science in Mechanical Engineering with Industrial Engineering.
prog_kh_023,uni_kh_008,2,Bachelor of Science in Agronomy,Agronomy,Bachelor,https://archive.sru.edu.kh/?article=166&lg=en&menu1=166&page=detail,Identity Collected,Official First-Party Archive Verified,"SRU official archive explicitly states the Faculty of Agriculture offers a Bachelor of Science in Agronomy. Identity is verified, but current programme freshness requires separate review."
prog_kh_024,uni_kh_008,3,Bachelor of Science in Rural Development,Rural Development,Bachelor,https://archive.sru.edu.kh/?article=166&lg=en&menu1=166&page=detail,Identity Collected,Official First-Party Archive Verified,"SRU official archive explicitly states the Faculty of Agriculture offers a Bachelor of Science in Rural Development. Identity is verified, but current programme freshness requires separate review."
prog_kh_025,uni_kh_009,1,Bachelor of Science in Computer Science,Computer Science,Bachelor,https://www.nuck.edu.kh/public/Faculty_of_Science_and_Mathematics/information-technology/?lang=en,Identity Collected,Current Successor First-Party Verified,NUCK current official site confirms the Bachelor of Science in Computer Science. NUCK official history documents the institutional renaming/succession. Frozen EduPath university parent uni_kh_009 is not modified in this step.
prog_kh_026,uni_kh_009,2,Bachelor of Public Administration,Public Administration,Bachelor,https://nuck.edu.kh/public/Faculty_of_social_science/Public_Administrations/?lang=en,Identity Collected,Current Successor First-Party Verified,Current NUCK official programme page explicitly identifies Bachelor of Public Administration.
prog_kh_027,uni_kh_009,3,Bachelor of Laws,Law,Bachelor,https://nuck.edu.kh/public/Faculty_of_social_science/Law/,Identity Collected,Current Successor First-Party Verified,Current NUCK official Law page explicitly identifies the Bachelor of Laws programme.
prog_kh_034,uni_kh_012,1,Bachelor of Science in Artificial Intelligence,Artificial Intelligence,Bachelor,https://www.aupp.edu.kh/faculty-of-digital-technologies/bachelor-of-science-in-ai/,Identity Collected,Current First-Party Programme Verified,AUPP current official programme page explicitly identifies the Bachelor of Science in Artificial Intelligence.
prog_kh_035,uni_kh_012,2,Bachelor of Arts in International Relations and Diplomacy,International Relations and Diplomacy,Bachelor,https://www.aupp.edu.kh/faculty-of-social-sciences/bachelor-of-arts-in-international-relations-and-diplomacy/bachelor-of-arts-in-international-relations-and-diplomacy-single-degree/,Identity Collected,Current First-Party Programme Verified,AUPP official single-degree programme page confirms Bachelor of Arts in International Relations and Diplomacy.
prog_kh_036,uni_kh_012,3,Bachelor of Arts in Law,Law,Bachelor,https://www.aupp.edu.kh/faculty-of-law/bachelor-of-arts-in-law/law-single-degree/,Identity Collected,Current First-Party Programme Verified,AUPP official programme page confirms the Bachelor of Arts in Law single-degree programme.
prog_kh_037,uni_kh_013,1,Bachelor of Science in Computer Science,Computer Science,Bachelor,https://www.puc.edu.kh/majors/undergraduate-program/computer-science-b-sc-in-cs/,Identity Collected,Current First-Party Programme Verified,PUC current official programme page identifies Computer Science (B.Sc. in CS) as a Bachelor degree.
prog_kh_038,uni_kh_013,2,Bachelor of Science in Cybersecurity,Cybersecurity,Bachelor,https://www.puc.edu.kh/majors/undergraduate-program/cybersecurity-b-sc-in-cyber/,Identity Collected,Current First-Party Programme Verified,PUC current official Cybersecurity page identifies B.Sc. in Cybersecurity as a Bachelor degree.
prog_kh_039,uni_kh_013,3,Bachelor of Arts in International Relations,International Relations,Bachelor,https://www.puc.edu.kh/majors/undergraduate-program/international-relations-ba-in-international-relations/,Identity Collected,Current First-Party Programme Verified,PUC current official International Relations page explicitly identifies BA in International Relations.
prog_kh_040,uni_kh_014,1,Computer Science,Computer Science,Bachelor,https://cost.uc.edu.kh/ucs-Service-5-12,Identity Collected,Current First-Party Degree Offering Verified,University of Cambodia College of Science and Technology currently lists Computer Science among its degree offerings. The programme name is preserved without inventing an unsupported award wording.
prog_kh_041,uni_kh_014,2,Information Technology,Information Technology,Bachelor,https://cost.uc.edu.kh/ucs-Service-5-12,Identity Collected,Current First-Party Degree Offering Verified,University of Cambodia current College of Science and Technology page lists Information Technology among its Bachelor-level degree offerings.
prog_kh_042,uni_kh_014,3,Electronics and Telecommunications,Electronics and Telecommunications,Bachelor,https://cost.uc.edu.kh/ucs-Service-5-12,Identity Collected,Current First-Party Degree Offering Verified,University of Cambodia current College of Science and Technology page lists Electronics and Telecommunications among its degree offerings.
prog_kh_043,uni_kh_015,1,Accounting,Accounting,Bachelor,https://enrollment.bbu.edu.kh/Home/About,Identity Collected,Current First-Party Bachelor Field Verified,Current BBU enrollment site identifies Accounting under Faculty of Business Management within its Associate and Bachelor education structure. Exact field name is preserved; no unsupported award title is fabricated.
prog_kh_044,uni_kh_015,2,Network Design and Programming,Network Design and Programming,Bachelor,https://enrollment.bbu.edu.kh/Home/About,Identity Collected,Current First-Party Bachelor Field Verified,Current BBU enrollment site identifies Network Design and Programming under Faculty of Sciences and Technology within its Bachelor education structure.
prog_kh_045,uni_kh_015,3,Public Law,Public Law,Bachelor,https://enrollment.bbu.edu.kh/Home/About,Identity Collected,Current First-Party Bachelor Field Verified,Current BBU enrollment site identifies Public Law under Faculty of Law and Social Sciences within its Associate/Bachelor education structure. Exact field name is preserved.
