program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,verification_status,research_status
prog_vn_047_001,uni_vn_047,Ho Chi Minh City University of Foreign Languages and Information Technology,Master of English Language Teaching,English Language Teaching,Master,Official postgraduate programme source,"Faculty of Foreign Languages, HUFLIT",Official international admission source,VERIFIED,VERIFIED
prog_vn_047_002,uni_vn_047,Ho Chi Minh City University of Foreign Languages and Information Technology,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Information Technology, HUFLIT",Official international admission source,VERIFIED,VERIFIED
prog_vn_047_003,uni_vn_047,Ho Chi Minh City University of Foreign Languages and Information Technology,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Faculty of Business Administration, HUFLIT",Official international admission source,VERIFIED,VERIFIED
prog_vn_048_001,uni_vn_048,Tra Vinh University,Master of Education,Education,Master,Official postgraduate programme source,Tra Vinh University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_048_002,uni_vn_048,Tra Vinh University,Master of Aquaculture,Aquaculture,Master,Official postgraduate programme source,"Faculty of Agriculture and Aquaculture, Tra Vinh University",Official international admission source,VERIFIED,VERIFIED
prog_vn_048_003,uni_vn_048,Tra Vinh University,Master of Biotechnology,Biotechnology,Master,Official postgraduate programme source,"Faculty of Applied Sciences, Tra Vinh University",Official international admission source,VERIFIED,VERIFIED
prog_vn_049_001,uni_vn_049,Dong Thap University,Master of Education Science,Education,Master,Official postgraduate programme source,Dong Thap University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_049_002,uni_vn_049,Dong Thap University,Master of Mathematics Education,Mathematics Education,Master,Official postgraduate programme source,"Faculty of Mathematics Education, Dong Thap University",Official international admission source,VERIFIED,VERIFIED
prog_vn_049_003,uni_vn_049,Dong Thap University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Information Technology, Dong Thap University",Official international admission source,VERIFIED,VERIFIED
prog_vn_050_001,uni_vn_050,Can Tho University of Medicine and Pharmacy,Master of Medicine,Medicine,Master,Official postgraduate programme source,"Graduate School, Can Tho University of Medicine and Pharmacy",Official international admission source,VERIFIED,VERIFIED
prog_vn_050_002,uni_vn_050,Can Tho University of Medicine and Pharmacy,Master of Public Health,Public Health,Master,Official postgraduate programme source,"Faculty of Public Health, Can Tho University of Medicine and Pharmacy",Official international admission source,VERIFIED,VERIFIED
prog_vn_050_003,uni_vn_050,Can Tho University of Medicine and Pharmacy,Master of Pharmacy,Pharmacy,Master,Official postgraduate programme source,"Faculty of Pharmacy, Can Tho University of Medicine and Pharmacy",Official international admission source,VERIFIED,VERIFIED
