program_id,university_id,university_name,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,ielts_requirement,toefl_requirement,intake,official_program_url,official_department_source,international_application_url,programme_identity_status,international_applicants_status,research_status,verification_note,verified_date
prog_vn_005_003,uni_vn_005,University of Economics Ho Chi Minh City,Master of Finance,Finance,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UEH official graduate school source,UEH Graduate School,UEH international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from UEH official sources.,2026-08-23
prog_vn_006_001,uni_vn_006,Can Tho University,Master of Information Technology,Information Technology,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,College of Information and Communication Technology,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_006_002,uni_vn_006,Can Tho University,Master of Agricultural Science,Agricultural Science,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,College of Agriculture,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_006_003,uni_vn_006,Can Tho University,Master of Economics,Economics,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,School of Economics,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_007_001,uni_vn_007,The University of Danang,Master of Computer Science,Computer Science,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,University of Science and Technology,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_007_002,uni_vn_007,The University of Danang,Master of Electrical Engineering,Electrical Engineering,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,University of Science and Technology,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_007_003,uni_vn_007,The University of Danang,Master of Business Administration,Business Administration,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,Economics faculty,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_008_001,uni_vn_008,Foreign Trade University,Master of International Business,International Business,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,Foreign Trade University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_008_002,uni_vn_008,Foreign Trade University,Master of International Economics,International Economics,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,Foreign Trade University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_008_003,uni_vn_008,Foreign Trade University,Master of Finance and Banking,Finance,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,Foreign Trade University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_009_001,uni_vn_009,Duy Tan University,Master of Computer Science,Computer Science,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,Duy Tan University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_009_002,uni_vn_009,Duy Tan University,Master of Information Systems,Information Systems,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,Duy Tan University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_009_003,uni_vn_009,Duy Tan University,Master of Business Administration,Business Administration,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,Duy Tan University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_010_001,uni_vn_010,National Economics University,Master of Business Administration,Business Administration,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,National Economics University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_010_002,uni_vn_010,National Economics University,Master of Economics,Economics,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,National Economics University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
prog_vn_010_003,uni_vn_010,National Economics University,Master of Finance,Finance,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official university postgraduate programme source,National Economics University graduate programme,Official international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from official university academic and postgraduate sources.,2026-08-23
