scholarship_id,scholarship_name,field,verified_value,mongodb_value,api_type,classification,safe_normalized_value,reason,recommended_next_action
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,minimum_gpa,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,gpa_scale,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,ielts_requirement,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,toefl_requirement,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,age_limit,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,monthly_allowance,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,allowance_currency,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,accommodation_support,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,health_insurance,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,required_documents,"""""","""<MISSING>""",list[str] | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,application_opening_date,"""""","""<MISSING>""",datetime.datetime | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,application_deadline,"""""","""<MISSING>""",datetime.datetime | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,scholarship_status,"""""","""<MISSING>""",str,RESEARCH_REQUIRED,null,"The API/business field is required, but the verified source contains no value. A value must not be invented.",VERIFY_REQUIRED_FIELD_FROM_OFFICIAL_SOURCE
sch_tw_001,MOE Taiwan Scholarship 2026,scholarship_id,"""""","""sch_tw_001""",str,MANUAL_REVIEW,null,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_tw_001,MOE Taiwan Scholarship 2026,host_university_id,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,eligible_nationalities,"""Applicants under the 2026 Myanmar office call""","""<MISSING>""",list[str] | None,SAFE_RESTORE,"[""Applicants under the 2026 Myanmar office call""]",MongoDB lost a verified value and the type gate found a lossless conversion. Semicolon/pipe-delimited source text converts losslessly to list[str].,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_tw_001,MOE Taiwan Scholarship 2026,fields_of_study,"""""","""<MISSING>""",list[str] | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,minimum_gpa,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,gpa_scale,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,ielts_requirement,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,toefl_requirement,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,age_limit,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,monthly_allowance,"""15000 undergraduate; 20000 Master's/Doctorate""","""15000 undergraduate; 20000 Master's/Doctorate""",int | float | None,DATA_MODEL_CONFLICT,null,"Descriptive, conditional, or multi-value numeric text cannot be reduced to one number without losing meaning.",RESOLVE_DATA_MODEL_WITHOUT_DISCARDING_VERIFIED_MEANING
sch_tw_001,MOE Taiwan Scholarship 2026,travel_allowance,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,accommodation_support,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,health_insurance,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_tw_001,MOE Taiwan Scholarship 2026,required_documents,"""""","""<MISSING>""",list[str] | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,scholarship_id,"""""","""sch_th_001""",str,MANUAL_REVIEW,null,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,host_university_id,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,eligible_nationalities,"""Applicants nominated from TIPP eligible countries/territories""","""<MISSING>""",list[str] | None,SAFE_RESTORE,"[""Applicants nominated from TIPP eligible countries/territories""]",MongoDB lost a verified value and the type gate found a lossless conversion. Semicolon/pipe-delimited source text converts losslessly to list[str].,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,minimum_gpa,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,gpa_scale,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,ielts_requirement,"""Good command of English; institution-specific English test requirements may apply""","""<MISSING>""",int | float | None,DATA_MODEL_CONFLICT,null,"Descriptive, conditional, or multi-value numeric text cannot be reduced to one number without losing meaning.",RESOLVE_DATA_MODEL_WITHOUT_DISCARDING_VERIFIED_MEANING
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,toefl_requirement,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,age_limit,"""<=45""","""<MISSING>""",int | None,DATA_MODEL_CONFLICT,null,"Descriptive, conditional, or multi-value numeric text cannot be reduced to one number without losing meaning.",RESOLVE_DATA_MODEL_WITHOUT_DISCARDING_VERIFIED_MEANING
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,accommodation_support,"""THB 7,000 or 9,000 per month""","""<MISSING>""",str | None,SAFE_RESTORE,"""THB 7,000 or 9,000 per month""",MongoDB lost a verified value and the type gate found a lossless conversion. Verified text already matches the API string type.,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,health_insurance,"""Accident and hospitalization insurance provided during study period""","""<MISSING>""",str | None,SAFE_RESTORE,"""Accident and hospitalization insurance provided during study period""",MongoDB lost a verified value and the type gate found a lossless conversion. Verified text already matches the API string type.,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,application_opening_date,"""""","""<MISSING>""",datetime.datetime | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
