program_id,university_id,program_name,degree_level,gpa_status,english_status,accepted_tests,numeric_minimum_status,minimum_gpa_stored,gpa_scale_stored,ielts_minimum_stored,toefl_minimum_stored,source_url,verified_at,note
prog_jp_016,uni_jp_006,International Master's/Doctoral Program in Information Science and Technology,Master,No universal numeric minimum verified,English requirement depends on international program,TOEFL / IELTS,No single cutoff applied to all three seed programs,,,,,https://isc.kyushu-u.ac.jp/graduate/,2026-08-09,Do not apply a general university score to every graduate program.
prog_jp_017,uni_jp_006,International Master's/Doctoral Program in Electrical and Electronic Engineering,Master,No universal numeric minimum verified,English requirement depends on international program,TOEFL / IELTS,No single cutoff applied to all three seed programs,,,,,https://isc.kyushu-u.ac.jp/graduate/,2026-08-09,Do not apply a general university score to every graduate program.
prog_jp_018,uni_jp_006,Master's Program in the Department of Design (Acoustic Design Course),Master,No universal numeric minimum verified,English requirement depends on international program,TOEFL / IELTS,No single cutoff applied to all three seed programs,,,,,https://isc.kyushu-u.ac.jp/graduate/,2026-08-09,Do not apply a general university score to every graduate program.
prog_jp_019,uni_jp_007,Computer Science and Information Technology,Master,No universal numeric minimum verified,External English score used for Master's admission,TOEIC / TOEFL / IELTS,No universal cutoff verified,,,,,https://www.ist.hokudai.ac.jp/examinfo/,2026-08-09,External English scores are used in the English examination.
prog_jp_020,uni_jp_007,Media and Network Technologies,Master,No universal numeric minimum verified,External English score used for Master's admission,TOEIC / TOEFL / IELTS,No universal cutoff verified,,,,,https://www.ist.hokudai.ac.jp/examinfo/,2026-08-09,External English scores are used in the English examination.
prog_jp_021,uni_jp_007,Systems Science and Informatics,Master,No universal numeric minimum verified,External English score used for Master's admission,TOEIC / TOEFL / IELTS,No universal cutoff verified,,,,,https://www.ist.hokudai.ac.jp/examinfo/,2026-08-09,External English scores are used in the English examination.
prog_jp_022,uni_jp_008,Graduate major in Computer Science,Master,No universal numeric minimum verified,External English test used in graduate selection,Check current graduate guide,No universal cutoff applied,,,,,https://admissions.isct.ac.jp/en/013/graduate,2026-08-09,"Requirements differ by school, major and admission route."
prog_jp_023,uni_jp_008,Graduate major in Mathematical and Computing Science,Master,No universal numeric minimum verified,External English test used in graduate selection,Check current graduate guide,No universal cutoff applied,,,,,https://admissions.isct.ac.jp/en/013/graduate,2026-08-09,"Requirements differ by school, major and admission route."
prog_jp_024,uni_jp_008,Graduate major in Artificial Intelligence,Master,No universal numeric minimum verified,External English test used in graduate selection,Check current graduate guide,No universal cutoff applied,,,,,https://admissions.isct.ac.jp/en/013/graduate,2026-08-09,"Requirements differ by school, major and admission route."
prog_jp_025,uni_jp_009,Computer Science,Master,No universal numeric minimum verified,Program-specific language evidence required,Program-specific,No generic cutoff applied,,,,,https://www.sie.tsukuba.ac.jp/eng/,2026-08-09,Special international programs may have separate language rules. Do not transfer those cutoffs to the general Computer Science record.
prog_jp_026,uni_jp_009,Intelligent and Mechanical Interaction Systems,Master,No universal numeric minimum verified,Program-specific language evidence required,Program-specific,No generic cutoff applied,,,,,https://www.sie.tsukuba.ac.jp/eng/,2026-08-09,Special international programs may have separate language rules. Do not transfer those cutoffs to the general Computer Science record.
prog_jp_027,uni_jp_009,Empowerment Informatics,PhD,No universal numeric minimum verified,Program-specific language evidence required,Program-specific,No generic cutoff applied,,,,,https://www.sie.tsukuba.ac.jp/eng/,2026-08-09,Special international programs may have separate language rules. Do not transfer those cutoffs to the general Computer Science record.
prog_jp_028,uni_jp_010,Computer Science and Systems Engineering,Bachelor,No universal numeric minimum verified,Admission-route specific,Needs Review,Not safely verified,,,,,https://www.csi.kobe-u.ac.jp/english/,2026-08-09,Keep numeric requirement fields blank until a current applicable admission guide is verified.
prog_jp_029,uni_jp_010,System Informatics,Master,No universal numeric minimum verified,Admission-route specific,Needs Review,Not safely verified,,,,,https://www.csi.kobe-u.ac.jp/english/,2026-08-09,Keep numeric requirement fields blank until a current applicable admission guide is verified.
prog_jp_030,uni_jp_010,System Informatics,PhD,No universal numeric minimum verified,Admission-route specific,Needs Review,Not safely verified,,,,,https://www.csi.kobe-u.ac.jp/english/,2026-08-09,Keep numeric requirement fields blank until a current applicable admission guide is verified.
prog_jp_031,uni_jp_011,Pure and Applied Mathematics,Master,No admission GPA minimum verified,English score may be required; no minimum cutoff,TOEIC / TOEFL iBT / IELTS Academic,No minimum; recommended scores only,,,,,https://www.waseda.jp/fsci/en/admissions_gs,2026-08-09,"TOEFL 79 and IELTS 6.5 are recommended values, not minimum admission cutoffs. Therefore they must not be stored in numeric minimum requirement columns."
prog_jp_032,uni_jp_011,Computer Science and Communications Engineering,Master,No admission GPA minimum verified,English score may be required; no minimum cutoff,TOEIC / TOEFL iBT / IELTS Academic,No minimum; recommended scores only,,,,,https://www.waseda.jp/fsci/en/admissions_gs,2026-08-09,"TOEFL 79 and IELTS 6.5 are recommended values, not minimum admission cutoffs. Therefore they must not be stored in numeric minimum requirement columns."
prog_jp_033,uni_jp_011,Intermedia Studies,Master,No admission GPA minimum verified,English score may be required; no minimum cutoff,TOEIC / TOEFL iBT / IELTS Academic,No minimum; recommended scores only,,,,,https://www.waseda.jp/fsci/en/admissions_gs,2026-08-09,"TOEFL 79 and IELTS 6.5 are recommended values, not minimum admission cutoffs. Therefore they must not be stored in numeric minimum requirement columns."
prog_jp_034,uni_jp_012,International Graduate Program,Master,No universal numeric minimum verified,Depends on Keio admission pathway,TOEFL / IELTS,IGP Master's has no minimum cutoff,,,,,https://www.keio.ac.jp/en/st/admissions-en/faq/,2026-08-09,IGP Master's accepts TOEFL or IELTS but sets no minimum score. IGP Doctoral applicants do not need English/GRE scores.
prog_jp_035,uni_jp_012,International Graduate Program,PhD,No universal numeric minimum verified,English test not required,Not Required,Not Applicable,,,,,https://www.keio.ac.jp/en/st/admissions-en/faq/,2026-08-09,Keio IGP Doctoral applicants are not required to submit English or GRE scores.
prog_jp_036,uni_jp_012,Double Degree Program,Master,No universal numeric minimum verified,TOEFL / IELTS not required,Not Required,Not Applicable,,,,,https://www.keio.ac.jp/en/st/admissions-en/faq/,2026-08-09,Keio Double Degree applicants are not required to submit TOEFL/IELTS or GRE scores.
