program_id,university_id,program_name,degree_level,duration_years,study_mode,duration_source_name,duration_source_url,duration_reason,study_mode_basis,verified_at
prog_jp_011,uni_jp_004,System Information Sciences,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_012,uni_jp_004,Applied Information Sciences,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_013,uni_jp_005,Mathematical Informatics,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_014,uni_jp_005,Computing and Software Systems,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_015,uni_jp_005,Intelligent Systems,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_016,uni_jp_006,International Master's/Doctoral Program in Information Science and Technology,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_017,uni_jp_006,International Master's/Doctoral Program in Electrical and Electronic Engineering,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_018,uni_jp_006,Master's Program in the Department of Design (Acoustic Design Course),Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_019,uni_jp_007,Computer Science and Information Technology,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_020,uni_jp_007,Media and Network Technologies,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_021,uni_jp_007,Systems Science and Informatics,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_022,uni_jp_008,Graduate major in Computer Science,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_023,uni_jp_008,Graduate major in Mathematical and Computing Science,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_024,uni_jp_008,Graduate major in Artificial Intelligence,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_025,uni_jp_009,Computer Science,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_026,uni_jp_009,Intelligent and Mechanical Interaction Systems,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_027,uni_jp_009,Empowerment Informatics,PhD,5,Full-time,University of Tsukuba Empowerment Informatics FAQ,https://www.emp.tsukuba.ac.jp/faq_en,Empowerment Informatics is a five-year integrated doctoral degree program.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_028,uni_jp_010,Computer Science and Systems Engineering,Bachelor,4,Full-time,Study in Japan - Universities Undergraduate,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/universities/,Undergraduate university programs generally require four years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_029,uni_jp_010,System Informatics,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_030,uni_jp_010,System Informatics,PhD,3,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_031,uni_jp_011,Pure and Applied Mathematics,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_032,uni_jp_011,Computer Science and Communications Engineering,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_033,uni_jp_011,Intermedia Studies,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_034,uni_jp_012,International Graduate Program,Master,2,Full-time,Keio International Graduate Program Master's,https://www.keio.ac.jp/en/st/admissions-en/masters_program/,Keio Graduate School of Science and Technology offers a two-year Master's program.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_035,uni_jp_012,International Graduate Program,PhD,3,Full-time,Keio International Graduate Program Doctoral,https://www.keio.ac.jp/en/st/admissions-en/phd_program/,Keio Graduate School of Science and Technology offers a three-year doctoral program.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_036,uni_jp_012,Double Degree Program,Master,2,Full-time,Keio Double Degree Program,https://www.keio.ac.jp/en/st/admissions-en/dd/,Completion of the Master's Program requires at least two academic years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
