program_id,university_id,university_name,country_id,program_slot,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_mn_015,uni_mn_005,University of Finance and Economics,country_mn,3,Finance and Banking,Finance and Banking,Bachelor,,Full-time,Unknown,,,,,,,,,,https://admission.ufe.edu.mn/en/professions/1,VERIFIED,Current UFE undergraduate/full-time programme page lists Finance and banking.,https://www.ufe.edu.mn/,VERIFIED,Current full-time status verified.,2026-08-22,unknown,,Current explicit international Bachelor admission eligibility was not verified.,2026-08-22
prog_mn_016,uni_mn_006,Mongolian University of Life Sciences,country_mn,1,Veterinary Medicine,Veterinary Medicine,Bachelor,,,Unknown,,,,,,,,,,https://muls.edu.mn/view_program_new.php?value_profession=ZW5jb2RldXNlcmlkNjc%3D,VERIFIED,Current MULS Bachelor programme area identifies Veterinary Medicine.,https://muls.edu.mn/,VERIFIED,"Duration, study mode, language and tuition remain unresolved.",2026-08-22,unknown,,"An international-office contact exists, but a sufficiently explicit current foreign-degree admission route for this programme was not verified.",2026-08-22
prog_mn_017,uni_mn_006,Mongolian University of Life Sciences,country_mn,2,Agricultural Biotechnology,Biotechnology,Bachelor,,,Unknown,,,,,,,,,,https://muls.edu.mn/view_program_new.php?value_profession=ZW5jb2RldXNlcmlkMTc%3D,VERIFIED,Current MULS Bachelor programme page lists Agricultural Biotechnology.,https://muls.edu.mn/,VERIFIED,English programme name is a normalized translation of the current official Mongolian programme title.,2026-08-22,unknown,,Direct foreign-degree admission eligibility remains unresolved.,2026-08-22
prog_mn_018,uni_mn_006,Mongolian University of Life Sciences,country_mn,3,Forestry Engineering,Forestry,Bachelor,,,Unknown,,,,,,,,,,https://muls.edu.mn/view_program_new.php?value_profession=ZW5jb2RldXNlcmlkNjc%3D,VERIFIED,Current MULS Bachelor programme list includes Forestry Engineering.,https://muls.edu.mn/,VERIFIED,Optional details remain blank without current programme-specific evidence.,2026-08-22,unknown,,No sufficiently explicit current international degree-admission route was verified.,2026-08-22
prog_mn_019,uni_mn_007,German-Mongolian Institute for Resources and Technology,country_mn,1,Raw Materials and Process Engineering,Raw Materials and Process Engineering,Bachelor,4,,Unknown,,,,,,6.0,80,,,https://www.gmit.edu.mn/eng/p/16,VERIFIED,"Current GMIT programme page confirms the B.Sc. in Raw Materials and Process Engineering, regular study period eight semesters.",https://www.gmit.edu.mn/eng/,VERIFIED,Eight semesters normalized to 4 years. Whole-programme teaching language is not inferred solely from English admission requirements.,2026-08-22,verified_yes,https://www.gmit.edu.mn/eng/p/13,Current GMIT admissions information explicitly includes international applicants. Current admission rules support IELTS 6.0 or TOEFL iBT 80 as English-test equivalents.,2026-08-22
prog_mn_020,uni_mn_007,German-Mongolian Institute for Resources and Technology,country_mn,2,Mechanical Engineering,Mechanical Engineering,Bachelor,4,,Unknown,,,,,,6.0,80,,,https://www.gmit.edu.mn/eng/p/18,VERIFIED,Current GMIT Mechanical Engineering page states a Bachelor programme with regular study period of eight semesters.,https://www.gmit.edu.mn/eng/,VERIFIED,Eight semesters normalized to 4 years.,2026-08-22,verified_yes,https://www.gmit.edu.mn/eng/p/13,GMIT current Bachelor admission information explicitly refers to international applicants and English proficiency evidence.,2026-08-22
prog_mn_021,uni_mn_007,German-Mongolian Institute for Resources and Technology,country_mn,3,Environmental Engineering,Environmental Engineering,Bachelor,4,,Unknown,,,,,,6.0,80,,,https://www.gmit.edu.mn/eng/p/40,VERIFIED,Current GMIT Environmental Engineering page confirms an eight-semester Bachelor of Science programme.,https://www.gmit.edu.mn/eng/,VERIFIED,Eight semesters normalized to 4 years.,2026-08-22,verified_yes,https://www.gmit.edu.mn/eng/p/13,Current GMIT admissions source includes international Bachelor applicants.,2026-08-22
prog_mn_022,uni_mn_008,University of the Humanities,country_mn,1,,,,,,,,,,,,,,,,,REVIEWED_UNRESOLVED,No sufficiently usable current official programme-level source was verified for Phase-1 slot 1. Deferred rather than fabricated.,https://humanities.mn/,DEFERRED,No sufficiently usable current official programme-level source was verified for Phase-1 slot 1. Deferred rather than fabricated.,2026-08-22,unknown,,"Programme identity was not sufficiently verified for this Phase-1 slot, so international eligibility is also unresolved.",2026-08-22
prog_mn_023,uni_mn_008,University of the Humanities,country_mn,2,,,,,,,,,,,,,,,,,REVIEWED_UNRESOLVED,No sufficiently usable current official programme-level source was verified for Phase-1 slot 2. Deferred rather than fabricated.,https://humanities.mn/,DEFERRED,No sufficiently usable current official programme-level source was verified for Phase-1 slot 2. Deferred rather than fabricated.,2026-08-22,unknown,,"Programme identity was not sufficiently verified for this Phase-1 slot, so international eligibility is also unresolved.",2026-08-22
prog_mn_024,uni_mn_008,University of the Humanities,country_mn,3,,,,,,,,,,,,,,,,,REVIEWED_UNRESOLVED,No sufficiently usable current official programme-level source was verified for Phase-1 slot 3. Deferred rather than fabricated.,https://humanities.mn/,DEFERRED,No sufficiently usable current official programme-level source was verified for Phase-1 slot 3. Deferred rather than fabricated.,2026-08-22,unknown,,"Programme identity was not sufficiently verified for this Phase-1 slot, so international eligibility is also unresolved.",2026-08-22
prog_mn_025,uni_mn_009,Otgontenger University,country_mn,1,Computer Programming,Computer Science / Programming,Bachelor,4,,Unknown,,,,,,,,,,https://www.otgontenger.edu.mn/en/training/programs,VERIFIED,Current OTU programme page lists Computer Programming as a four-year Bachelor's programme.,https://otgontenger.edu.mn/en/home,VERIFIED,"The university-level foreign-student rule lists onsite/online/hybrid formats, but no mode is assigned to this individual programme without programme-level evidence.",2026-08-22,verified_yes,https://otgontenger.edu.mn/en/about/rules,OTU's official procedure explicitly governs enrollment of foreign citizens to degree programmes.,2026-08-22
prog_mn_026,uni_mn_009,Otgontenger University,country_mn,2,Tourism Management,Tourism Management,Bachelor,4,,Unknown,,,,,,,,,,https://www.otgontenger.edu.mn/en/training/programs,VERIFIED,Current OTU programme page lists Tourism Management as a four-year Bachelor's programme.,https://otgontenger.edu.mn/en/home,VERIFIED,Programme-specific language and study mode remain unresolved.,2026-08-22,verified_yes,https://otgontenger.edu.mn/en/about/rules,Official OTU foreign-citizen regulation explicitly covers degree-program admission.,2026-08-22
prog_mn_027,uni_mn_009,Otgontenger University,country_mn,3,International Relations,International Relations,Bachelor,4,,Unknown,,,,,,,,,,https://www.otgontenger.edu.mn/en/training/programs,VERIFIED,Current OTU programme page lists International Relations as a four-year Bachelor's programme.,https://otgontenger.edu.mn/en/home,VERIFIED,No numerical IELTS/TOEFL requirement is stored because the foreign-citizen rule only requires programme-appropriate English evidence where applicable.,2026-08-22,verified_yes,https://otgontenger.edu.mn/en/about/rules,Foreign citizens may apply to OTU degree programmes under the university's official international admission procedure.,2026-08-22
prog_mn_028,uni_mn_010,Etugen University,country_mn,1,Medicine - Medical Doctor,Medicine,Bachelor,6,,Unknown,,,,,,,,,,https://etugen.edu.mn/public/juram2627.pdf,VERIFIED,Etugen's current 2026/27 Bachelor admission regulation lists Medicine / Medical Doctor with six years of daytime study.,https://www.etugen.edu.mn/,VERIFIED,Official wording is daytime; it is not force-mapped to canonical Full-time.,2026-08-22,verified_yes,https://etugen.edu.mn/Home/admission/23,Etugen maintains a dedicated foreign-student Bachelor admission procedure and application window.,2026-08-22
prog_mn_029,uni_mn_010,Etugen University,country_mn,2,Pharmacy,Pharmacy,Bachelor,5,,Unknown,,,,,,,,,,https://etugen.edu.mn/public/juram2627.pdf,VERIFIED,Current Etugen 2026/27 admission regulation lists the Pharmacy Bachelor programme with five years of daytime study.,https://www.etugen.edu.mn/,VERIFIED,Daytime wording is retained only as evidence; canonical study_mode remains blank.,2026-08-22,verified_yes,https://etugen.edu.mn/Home/admission/23,Etugen's official foreign-student admission page explicitly accepts applications to Bachelor degree programmes.,2026-08-22
prog_mn_030,uni_mn_010,Etugen University,country_mn,3,Nursing,Nursing,Bachelor,4,,Unknown,,,,,,,,,,https://etugen.edu.mn/public/juram2627.pdf,VERIFIED,Current Etugen 2026/27 regulation lists Nursing as a four-year Bachelor programme.,https://www.etugen.edu.mn/,VERIFIED,Programme instruction language is not inferred from admissions information.,2026-08-22,verified_yes,https://etugen.edu.mn/Home/admission/23,Etugen explicitly provides foreign-student Bachelor admission procedures.,2026-08-22
prog_mn_031,uni_mn_011,International University of Ulaanbaatar,country_mn,1,Software,Software Engineering,Bachelor,,,Unknown,,,,,,,,,,https://www.iuu.edu.mn/bachelor/program,VERIFIED,"Current IUU Bachelor programme page lists Software, programme code 061302.",https://www.iuu.edu.mn/,VERIFIED,University name is not treated as proof of international-student eligibility.,2026-08-22,unknown,,"The university/programme identity is verified, but a sufficiently explicit current foreign first-year degree admission route was not verified.",2026-08-22
prog_mn_032,uni_mn_011,International University of Ulaanbaatar,country_mn,2,Business Administration,Business Administration,Bachelor,,,Unknown,,,,,,,,,,https://www.iuu.edu.mn/bachelor/program,VERIFIED,Current IUU Bachelor programme page lists Business Administration.,https://www.iuu.edu.mn/,VERIFIED,"No duration, mode or language is inferred.",2026-08-22,unknown,,Direct current foreign-degree admission eligibility remains unresolved.,2026-08-22
prog_mn_033,uni_mn_011,International University of Ulaanbaatar,country_mn,3,International Relations,International Relations,Bachelor,,,Unknown,,,,,,,,,,https://www.iuu.edu.mn/training/department/15,VERIFIED,Current IUU International Relations department page confirms the programme.,https://www.iuu.edu.mn/,VERIFIED,Foreign-language study within the curriculum is not equivalent to whole-programme language of instruction.,2026-08-22,unknown,,"Programme identity is current, but an explicit foreign Bachelor admission route was not verified.",2026-08-22
prog_mn_034,uni_mn_012,Mandakh University,country_mn,1,Information System,Information Systems,Bachelor,4,,Unknown,,,,,,,,,,https://en.mandakh.edu.mn/information-system,VERIFIED,"Current Mandakh programme page identifies Information system, programme index 061303, with a four-year duration.",https://en.mandakh.edu.mn/,VERIFIED,Official delivery wording is Day classes; it is not force-mapped to Full-time.,2026-08-22,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,Mandakh provides an official Undergraduate International Admissions section containing its undergraduate programme menu.,2026-08-22
prog_mn_035,uni_mn_012,Mandakh University,country_mn,2,Software,Software Engineering,Bachelor,4,,Unknown,,,,,,,,,,https://en.mandakh.edu.mn/software,VERIFIED,Current Mandakh Software programme page identifies programme index 061302 and a four-year duration.,https://en.mandakh.edu.mn/,VERIFIED,Day classes is preserved as evidence but not force-normalized into study_mode.,2026-08-22,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,Mandakh has a dedicated official Undergraduate International Admissions page.,2026-08-22
prog_mn_036,uni_mn_012,Mandakh University,country_mn,3,Business Administration,Business Administration,Bachelor,4,,Unknown,,,,,,,,,,https://en.mandakh.edu.mn/business-administration-bachelor,VERIFIED,Current Mandakh Business Administration page confirms the programme and a four-year duration.,https://en.mandakh.edu.mn/,VERIFIED,The regular Business Administration record is used here; no English-medium claim is made for this selected record.,2026-08-22,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,Mandakh's official Undergraduate International Admissions section supports international undergraduate applications.,2026-08-22
